Year	Month	Day	ARROW_obs
1930	1	12	6181
1930	1	13	7467
1930	1	14	8872
1930	1	15	7270
1930	1	16	7728
1930	1	17	9582
1930	1	18	10835
1930	1	19	10232
1930	1	20	8588
1930	1	21	8350
1930	1	22	8041
1930	1	23	6487
1930	1	24	6883
1930	1	25	9171
1930	1	26	8549
1930	1	27	7615
1930	1	28	7617
1930	1	29	7544
1930	1	30	7548
1930	1	31	7616
1930	2	1	8592
1930	2	2	8264
1930	2	3	8553
1930	2	4	9412
1930	2	5	6556
1930	2	6	7075
1930	2	7	7643
1930	2	8	5426
1930	2	9	4436
1930	2	10	5877
1930	2	11	6925
1930	2	12	7158
1930	2	13	7129
1930	2	14	7262
1930	2	15	6254
1930	2	16	5174
1930	2	17	6726
1930	2	18	7509
1930	2	19	9928
1930	2	20	12056
1930	2	21	12622
1930	2	22	10991
1930	2	23	10150
1930	2	24	10151
1930	2	25	9040
1930	2	26	7847
1930	2	27	7707
1930	2	28	7348
1930	3	1	7865
1930	3	2	8183
1930	3	3	8127
1930	3	4	8175
1930	3	5	8292
1930	3	6	8372
1930	3	7	8154
1930	3	8	8436
1930	3	9	8427
1930	3	10	8424
1930	3	11	5689
1930	3	12	6552
1930	3	13	8773
1930	3	14	6120
1930	3	15	6635
1930	3	16	8670
1930	3	17	8632
1930	3	18	8487
1930	3	19	8409
1930	3	20	8553
1930	3	21	8570
1930	3	22	8328
1930	3	23	8388
1930	3	24	8493
1930	3	25	9855
1930	3	26	8610
1930	3	27	9012
1930	3	28	11404
1930	3	29	12724
1930	3	30	13891
1930	3	31	13816
1930	4	1	15410
1930	4	2	15082
1930	4	3	14659
1930	4	4	16034
1930	4	5	15472
1930	4	6	19304
1930	4	7	18319
1930	4	8	24973
1930	4	9	26952
1930	4	10	24924
1930	4	11	27888
1930	4	12	24643
1930	4	13	24637
1930	4	14	32035
1930	4	15	29585
1930	4	16	32017
1930	4	17	31970
1930	4	18	31142
1930	4	19	29261
1930	4	20	35199
1930	4	21	44347
1930	4	22	48202
1930	4	23	47289
1930	4	24	65759
1930	4	25	59223
1930	4	26	65105
1930	4	27	66260
1930	4	28	69242
1930	4	29	64282
1930	4	30	58915
1930	5	1	56590
1930	5	2	60825
1930	5	3	61847
1930	5	4	59933
1930	5	5	52599
1930	5	6	56009
1930	5	7	50645
1930	5	8	50702
1930	5	9	44170
1930	5	10	42168
1930	5	11	46195
1930	5	12	42295
1930	5	13	53240
1930	5	14	45771
1930	5	15	70824
1930	5	16	75853
1930	5	17	85041
1930	5	18	78820
1930	5	19	73230
1930	5	20	69769
1930	5	21	68746
1930	5	22	61780
1930	5	23	51397
1930	5	24	48018
1930	5	25	52203
1930	5	26	46118
1930	5	27	50830
1930	5	28	61772
1930	5	29	76613
1930	5	30	89512
1930	5	31	113313
1930	6	1	101303
1930	6	2	102501
1930	6	3	97247
1930	6	4	88522
1930	6	5	87196
1930	6	6	103450
1930	6	7	105287
1930	6	8	109642
1930	6	9	114582
1930	6	10	116562
1930	6	11	122970
1930	6	12	125400
1930	6	13	118398
1930	6	14	118868
1930	6	15	121527
1930	6	16	120418
1930	6	17	113027
1930	6	18	82394
1930	6	19	82180
1930	6	20	82099
1930	6	21	90279
1930	6	22	92129
1930	6	23	97066
1930	6	24	104075
1930	6	25	102175
1930	6	26	113325
1930	6	27	112764
1930	6	28	111934
1930	6	29	97277
1930	6	30	108835
1930	7	1	105176
1930	7	2	103010
1930	7	3	100465
1930	7	4	90011
1930	7	5	89778
1930	7	6	86528
1930	7	7	94526
1930	7	8	99262
1930	7	9	105803
1930	7	10	117779
1930	7	11	121109
1930	7	12	116654
1930	7	13	119816
1930	7	14	135096
1930	7	15	133490
1930	7	16	124032
1930	7	17	107387
1930	7	18	101089
1930	7	19	84966
1930	7	20	89333
1930	7	21	91311
1930	7	22	93096
1930	7	23	100088
1930	7	24	105940
1930	7	25	93950
1930	7	26	82659
1930	7	27	71415
1930	7	28	63214
1930	7	29	62472
1930	7	30	80921
1930	7	31	91802
1930	8	1	86328
1930	8	2	75170
1930	8	3	65859
1930	8	4	67257
1930	8	5	74025
1930	8	6	79942
1930	8	7	82241
1930	8	8	78230
1930	8	9	85134
1930	8	10	84987
1930	8	11	91337
1930	8	12	92451
1930	8	13	89755
1930	8	14	85943
1930	8	15	87963
1930	8	16	85646
1930	8	17	77967
1930	8	18	74748
1930	8	19	67522
1930	8	20	65637
1930	8	21	58518
1930	8	22	62306
1930	8	23	56729
1930	8	24	62949
1930	8	25	63292
1930	8	26	59671
1930	8	27	49778
1930	8	28	50086
1930	8	29	53147
1930	8	30	53130
1930	8	31	47548
1930	9	1	37587
1930	9	2	40680
1930	9	3	51351
1930	9	4	52517
1930	9	5	51880
1930	9	6	51043
1930	9	7	48710
1930	9	8	48651
1930	9	9	51672
1930	9	10	50469
1930	9	11	49763
1930	9	12	48972
1930	9	13	43693
1930	9	14	35109
1930	9	15	40649
1930	9	16	39848
1930	9	17	37476
1930	9	18	36227
1930	9	19	39771
1930	9	20	30419
1930	9	21	32048
1930	9	22	32782
1930	9	23	32229
1930	9	24	30535
1930	9	25	28709
1930	9	26	28046
1930	9	27	26785
1930	9	28	30133
1930	9	29	24068
1930	9	30	22032
1930	10	1	22045
1930	10	2	9606
1930	10	3	12422
1930	10	4	18425
1930	10	5	17909
1930	10	6	20284
1930	10	7	21589
1930	10	8	23265
1930	10	9	17765
1930	10	10	16134
1930	10	11	11041
1930	10	12	13270
1930	10	13	12801
1930	10	14	12452
1930	10	15	11873
1930	10	16	13434
1930	10	17	13136
1930	10	18	15250
1930	10	19	14053
1930	10	20	13410
1930	10	21	14834
1930	10	22	12319
1930	10	23	11840
1930	10	24	11581
1930	10	25	15087
1930	10	26	14305
1930	10	27	11115
1930	10	28	13594
1930	10	29	10310
1930	10	30	12247
1930	10	31	12063
1930	11	1	9855
1930	11	2	9597
1930	11	3	11310
1930	11	4	13676
1930	11	5	8800
1930	11	6	8856
1930	11	7	10651
1930	11	8	10400
1930	11	9	9251
1930	11	10	11777
1930	11	11	11761
1930	11	12	12476
1930	11	13	11736
1930	11	14	6730
1930	11	15	6683
1930	11	16	11887
1930	11	17	9256
1930	11	18	7073
1930	11	19	9676
1930	11	20	9017
1930	11	21	8530
1930	11	22	8534
1930	11	23	8189
1930	11	24	10843
1930	11	25	6120
1930	11	26	7956
1930	11	27	8407
1930	11	28	7686
1930	11	29	7669
1930	11	30	7538
1930	12	1	5718
1930	12	2	10558
1930	12	3	10456
1930	12	4	4731
1930	12	5	7616
1930	12	6	9605
1930	12	7	6857
1930	12	8	4599
1930	12	9	7273
1930	12	10	9125
1930	12	11	8816
1930	12	12	6632
1930	12	13	6480
1930	12	14	5776
1930	12	15	5703
1930	12	16	6217
1930	12	17	6205
1930	12	18	8093
1930	12	19	5299
1930	12	20	7885
1930	12	21	5000
1930	12	22	5534
1930	12	23	7528
1930	12	24	4792
1930	12	25	5408
1930	12	26	4668
1930	12	27	7350
1930	12	28	4743
1930	12	29	7045
1930	12	30	2231
1930	12	31	2426
1931	1	1	7286
1931	1	2	4949
1931	1	3	5683
1931	1	4	5366
1931	1	5	7427
1931	1	6	7331
1931	1	7	7099
1931	1	8	6954
1931	1	9	6818
1931	1	10	4701
1931	1	11	6780
1931	1	12	4008
1931	1	13	6598
1931	1	14	1727
1931	1	15	6466
1931	1	16	6412
1931	1	17	6521
1931	1	18	6405
1931	1	19	6492
1931	1	20	6563
1931	1	21	6481
1931	1	22	6360
1931	1	23	6647
1931	1	24	6728
1931	1	25	6735
1931	1	26	12050
1931	1	27	6660
1931	1	28	6462
1931	1	29	6536
1931	1	30	6628
1931	1	31	6668
1931	2	1	6528
1931	2	2	6515
1931	2	3	6441
1931	2	4	6238
1931	2	5	6151
1931	2	6	3931
1931	2	7	3996
1931	2	8	4565
1931	2	9	6584
1931	2	10	6386
1931	2	11	3616
1931	2	12	6294
1931	2	13	6118
1931	2	14	3385
1931	2	15	6070
1931	2	16	6346
1931	2	17	4342
1931	2	18	6650
1931	2	19	6709
