year	month	day	ARROW_sim
1980	4	18	12572.855
1980	4	19	15015.538
1980	4	20	17509.846
1980	4	21	21121.768
1980	4	22	25996.748
1980	4	23	30318.363
1980	4	24	33256.793
1980	4	25	37531.656
1980	4	26	42510.836
1980	4	27	45955.914
1980	4	28	50790.199
1980	4	29	58287.23
1980	4	30	68260.43
1980	5	1	77522.961
1980	5	2	83125.18
1980	5	3	87815.188
1980	5	4	91560.18
1980	5	5	92619.484
1980	5	6	94953.766
1980	5	7	101094.76
1980	5	8	109543.94
1980	5	9	118763.68
1980	5	10	126337.24
1980	5	11	131728.08
1980	5	12	136790.63
1980	5	13	140799.7
1980	5	14	142887.78
1980	5	15	141778.83
1980	5	16	138675.39
1980	5	17	137901.59
1980	5	18	138586.45
1980	5	19	139165.42
1980	5	20	140856.23
1980	5	21	144560.03
1980	5	22	152863.89
1980	5	23	168327.58
1980	5	24	175548.86
1980	5	25	167525.41
1980	5	26	157300.38
1980	5	27	149748.78
1980	5	28	145208.3
1980	5	29	141367.22
1980	5	30	137176.41
1980	5	31	132885.41
1980	6	1	127705.45
1980	6	2	121999.03
1980	6	3	117180.05
1980	6	4	115352.91
1980	6	5	115014.88
1980	6	6	116002.85
1980	6	7	118674.98
1980	6	8	121249.93
1980	6	9	119731.84
1980	6	10	111393.1
1980	6	11	100904.51
1980	6	12	94451.25
1980	6	13	92788.539
1980	6	14	95069.438
1980	6	15	101999.7
1980	6	16	109735.45
1980	6	17	114558.83
1980	6	18	118739.65
1980	6	19	122676.17
1980	6	20	124304.2
1980	6	21	124699.08
1980	6	22	124308
1980	6	23	122324.16
1980	6	24	119639.07
1980	6	25	116845.78
1980	6	26	113183.69
1980	6	27	109797.58
1980	6	28	105963.96
1980	6	29	99194.93
1980	6	30	91875.766
1980	7	1	87026.602
1980	7	2	81668.141
1980	7	3	77105.414
1980	7	4	74584.727
1980	7	5	69434.695
1980	7	6	62785.215
1980	7	7	57948.262
1980	7	8	55615.84
1980	7	9	54942.945
1980	7	10	54068.336
1980	7	11	51759.598
1980	7	12	51179.297
1980	7	13	53561.457
1980	7	14	55992.762
1980	7	15	59343.758
1980	7	16	63909.801
1980	7	17	68320.344
1980	7	18	70902.336
1980	7	19	70341.023
1980	7	20	67937.938
1980	7	21	62646.773
1980	7	22	54614.777
1980	7	23	46931.242
1980	7	24	40587.441
1980	7	25	36342.801
1980	7	26	35759.207
1980	7	27	38331.309
1980	7	28	39560.777
1980	7	29	38211.02
1980	7	30	35639.059
1980	7	31	32581.984
1980	8	1	30004.061
1980	8	2	27558.736
1980	8	3	25959.713
1980	8	4	26661.176
1980	8	5	28830.674
1980	8	6	32763.928
1980	8	7	40420.398
1980	8	8	47150.828
1980	8	9	48994.539
1980	8	10	44759.531
1980	8	11	36053.328
1980	8	12	27174.525
1980	8	13	19574.881
1980	8	14	14558.721
1980	8	15	12286.899
1980	8	16	11788.786
1980	8	17	11944.406
1980	8	18	13068.608
1980	8	19	16768.4
1980	8	20	20893.352
1980	8	21	24793.49
1980	8	22	29742.621
1980	8	23	30046.383
1980	8	24	25037.125
1980	8	25	19051.717
1980	8	26	13989.452
1980	8	27	12018.542
1980	8	28	12833.396
1980	8	29	15192.171
1980	8	30	18341.615
1980	8	31	22226.725
1980	9	1	24639.416
1980	9	2	24114.197
1980	9	3	24226.193
1980	9	4	27423.645
1980	9	5	32534.309
1980	9	6	37156.383
1980	9	7	36815.277
1980	9	8	31796.086
1980	9	9	26603.027
1980	9	10	23707.01
1980	9	11	22374.297
1980	9	12	19514.373
1980	9	13	15715.293
1980	9	14	12413.75
1980	9	15	9663.4238
1980	9	16	7977.7686
1980	9	17	8157.9399
1980	9	18	10775.989
1980	9	19	14466.757
1980	9	20	15826.361
1980	9	21	18071.783
1980	9	22	25660.422
1980	9	23	34730.766
1980	9	24	42648.441
1980	9	25	46676.301
1980	9	26	44741.148
1980	9	27	37686.77
1980	9	28	28193.734
1980	9	29	20592.676
1980	9	30	16751.107
1980	10	1	20542.508
1980	10	2	32761.18
1980	10	3	48019.617
1980	10	4	62452.379
1980	10	5	70062.898
1980	10	6	65024.734
1980	10	7	50019.164
1980	10	8	33125.77
1980	10	9	20771.201
1980	10	10	14400.208
1980	10	11	12222.155
1980	10	12	11947.728
1980	10	13	11727.135
1980	10	14	10852.579
1980	10	15	9869.3506
1980	10	16	9254.9727
1980	10	17	8899.9688
1980	10	18	8436.3652
1980	10	19	7438.937
1980	10	20	6072.4985
1980	10	21	5388.5991
1980	10	22	7136.0791
1980	10	23	12309.334
1980	10	24	17392.531
1980	10	25	19374.598
1980	10	26	18703.918
1980	10	27	15221.146
1980	10	28	10840.749
1980	10	29	7679.4692
1980	10	30	5578.4805
1980	10	31	4323.168
1980	11	1	3657.1965
1980	11	2	3543.2458
1980	11	3	4676.8433
1980	11	4	7792.2769
1980	11	5	11624.111
1980	11	6	14430.244
1980	11	7	15710.079
1980	11	8	15997.494
1980	11	9	16691.811
1980	11	10	19326.672
1980	11	11	22416.92
1980	11	12	22256.701
1980	11	13	19174.979
1980	11	14	14955.775
1980	11	15	10601.218
1980	11	16	6986.0518
1980	11	17	4479.1807
1980	11	18	3145.3135
1980	11	19	2527.3301
1980	11	20	2598.3354
1980	11	21	2661.3313
1980	11	22	2727.4453
1980	11	23	3391.4026
1980	11	24	3438.9348
1980	11	25	2722.3191
1980	11	26	2078.5925
1980	11	27	1578.5417
1980	11	28	1287.8486
1980	11	29	1164.2898
1980	11	30	1122.7711
1980	12	1	1095.9711
1980	12	2	1068.5569
1980	12	3	994.49854
1980	12	4	905.95007
1980	12	5	859.72266
1980	12	6	837.19666
1980	12	7	827.41766
1980	12	8	823.10852
1980	12	9	820.52698
1980	12	10	817.84082
1980	12	11	815.57581
1980	12	12	817.03101
1980	12	13	875.85614
1980	12	14	945.50739
1980	12	15	933.88965
1980	12	16	955.34869
1980	12	17	1834.3871
1980	12	18	3290.0801
1980	12	19	3765.3813
1980	12	20	3798.6465
1980	12	21	4374.9883
1980	12	22	4762.6235
1980	12	23	4341.0234
1980	12	24	3480.8896
1980	12	25	2626.9614
1980	12	26	1955.3091
1980	12	27	1648.8793
1980	12	28	2436.4221
1980	12	29	4769.6387
1980	12	30	6345.0659
1980	12	31	6321
1981	1	1	6513.0889
1981	1	2	6950.356
1981	1	3	6766.9585
1981	1	4	5805.3452
1981	1	5	4575.1782
1981	1	6	3407.918
1981	1	7	2528.6873
1981	1	8	1967.5638
1981	1	9	1556.4878
1981	1	10	1307.6759
1981	1	11	1150.8209
1981	1	12	1023.1015
1981	1	13	922.32513
1981	1	14	859.19495
1981	1	15	826.70947
1981	1	16	808.78876
1981	1	17	800.59869
1981	1	18	794.81207
1981	1	19	791.12762
1981	1	20	789.30554
1981	1	21	788.3429
1981	1	22	787.94971
1981	1	23	790.55267
1981	1	24	849.54639
1981	1	25	1032.389
1981	1	26	1236.686
1981	1	27	1325.8539
1981	1	28	1290.5326
1981	1	29	1162.0337
1981	1	30	1037.9249
1981	1	31	977.63684
1981	2	1	919.87085
1981	2	2	864.43573
1981	2	3	837.78723
1981	2	4	818.52191
1981	2	5	804.69928
1981	2	6	794.92615
1981	2	7	788.62598
1981	2	8	784.75531
1981	2	9	783.2702
1981	2	10	781.74603
1981	2	11	779.77814
1981	2	12	779.36359
1981	2	13	779.04004
1981	2	14	778.87964
1981	2	15	789.13879
1981	2	16	1004.2652
1981	2	17	2373.0369
1981	2	18	4625.5601
1981	2	19	6871.2275
1981	2	20	8568.625
1981	2	21	9158.9209
1981	2	22	9518.4473
1981	2	23	9552.666
1981	2	24	8524.0059
1981	2	25	6969.0068
1981	2	26	5545.229
1981	2	27	4328.8125
1981	2	28	3256.0698
1981	3	1	2490.6802
1981	3	2	2030.14
1981	3	3	1744.5502
1981	3	4	1502.4882
1981	3	5	1309.6023
1981	3	6	1320.4795
1981	3	7	1358.5981
1981	3	8	1256.9458
1981	3	9	1146.9485
1981	3	10	1089.9745
1981	3	11	1085.8414
1981	3	12	1128.5781
1981	3	13	1198.5902
1981	3	14	1281.4408
1981	3	15	1390.8627
1981	3	16	1534.1235
1981	3	17	1771.3376
1981	3	18	2329.9897
1981	3	19	2857.2463
1981	3	20	2968.7202
1981	3	21	2970.9575
1981	3	22	3076.3657
1981	3	23	3255.1741
1981	3	24	3391.9148
1981	3	25	3524.4155
1981	3	26	3697.2505
1981	3	27	3681.3804
1981	3	28	3815.728
1981	3	29	4194.9673
1981	3	30	4637.1016
1981	3	31	5785.7144
1981	4	1	7310.2134
1981	4	2	8612.0635
1981	4	3	9285.9727
1981	4	4	9208.166
1981	4	5	8428.3525
1981	4	6	7206.4482
1981	4	7	6331.4829
1981	4	8	5292.8555
1981	4	9	4148.0391
1981	4	10	3702.2419
1981	4	11	3619.4265
1981	4	12	3330.1389
1981	4	13	2901.1235
1981	4	14	2553.9592
1981	4	15	2377.3582
1981	4	16	2527.9863
1981	4	17	3241.3979
1981	4	18	5008.3433
1981	4	19	7188.8315
1981	4	20	9247.0283
1981	4	21	11740.344
1981	4	22	14259.526
1981	4	23	16923.516
1981	4	24	21006.986
1981	4	25	27032.459
1981	4	26	32224.9
1981	4	27	33232.25
1981	4	28	32316.84
1981	4	29	31149.813
1981	4	30	30535.402
1981	5	1	31212.637
1981	5	2	33888.5
1981	5	3	39046.34
